,date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
45,20180911,North-Kivu,Goma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,20180911,North-Kivu,Kalunguta,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
45,20180911,North-Kivu,Katwa,,,,,,,,150.0
45,20180911,North-Kivu,Mabalako,21.0,66.0,5.0,8.0,64.0,43.0,26.0,3613.0
45,20180911,North-Kivu,Maseraka,0.0,1.0,2.0,2.0,1.0,1.0,0.0,220.0
45,20180911,North-Kivu,Musienene,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
45,20180911,North-Kivu,Oicha,1.0,2.0,2.0,2.0,1.0,0.0,2.0,121.0
45,20180911,all,all,31.0,102.0,16.0,19.0,92.0,61.0,37.0,8444.0
46,20180912,Ituri,Bunia,,,,,,,,
46,20180912,Ituri,Komanda,,,,,,,,
46,20180912,Ituri,Mambasa,,,,,,,,
46,20180912,Ituri,Mandima,2.0,9.0,0.0,0.0,3.0,1.0,3.0,1328.0
46,20180912,Ituri,Tchomia,,,,,,,,
46,20180912,Kinshasa,Kinshasa,,,,,,,,65.0
46,20180912,North-Kivu,Beni,4.0,21.0,8.0,8.0,19.0,15.0,4.0,2656.0
46,20180912,North-Kivu,Butembo,2.0,4.0,4.0,4.0,3.0,1.0,1.0,544.0
46,20180912,North-Kivu,Goma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,20180912,North-Kivu,Kalunguta,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
46,20180912,North-Kivu,Katwa,,,,,,,,150.0
46,20180912,North-Kivu,Mabalako,21.0,68.0,2.0,2.0,64.0,43.0,26.0,3654.0
46,20180912,North-Kivu,Maseraka,0.0,1.0,2.0,2.0,1.0,1.0,0.0,220.0
46,20180912,North-Kivu,Musienene,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
46,20180912,North-Kivu,Oicha,1.0,2.0,1.0,1.0,1.0,0.0,2.0,121.0
46,20180912,all,all,31.0,106.0,17.0,17.0,92.0,61.0,37.0,8738.0
47,20180913,Ituri,Bunia,,,,,,,,
47,20180913,Ituri,Komanda,,,,,,,,
47,20180913,Ituri,Mambasa,,,,,,,,
47,20180913,Ituri,Mandima,2.0,9.0,0.0,0.0,3.0,1.0,3.0,1365.0
47,20180913,Ituri,Tchomia,,,,,,,,
47,20180913,Kinshasa,Kinshasa,,,,,,,,65.0
47,20180913,North-Kivu,Beni,4.0,24.0,3.0,3.0,20.0,16.0,4.0,2781.0
47,20180913,North-Kivu,Butembo,2.0,4.0,5.0,5.0,3.0,1.0,1.0,594.0
47,20180913,North-Kivu,Goma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,20180913,North-Kivu,Kalunguta,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
47,20180913,North-Kivu,Katwa,,,,,,,,150.0
47,20180913,North-Kivu,Mabalako,21.0,68.0,2.0,2.0,65.0,44.0,26.0,3667.0
47,20180913,North-Kivu,Maseraka,0.0,1.0,2.0,2.0,1.0,1.0,0.0,220.0
47,20180913,North-Kivu,Musienene,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
47,20180913,North-Kivu,Oicha,1.0,2.0,1.0,1.0,1.0,0.0,2.0,121.0
